MMSDM_PACKAGE_NAME,MMSDM_TABLE_NAME,PDR_REPORT_NAME,PDR_REPORT_SUB_TYPE,PDR_REPORT_VERSION,PDR_REPORT_TRANSACTION_TYPE,PDR_REPORT_ROW_FILTER_TYPE
GENERIC_CONSTRAINT,EMSMASTER,GENERIC_CONSTRAINT,EMSMASTER,1,INSERT-UPDATE,LASTCHANGED
GENERIC_CONSTRAINT,GENCONDATA,GENCONDATA,NULL,6,INSERT,
GENERIC_CONSTRAINT,GENCONDATA,GENCONDATA,NULL,6,INSERT,
GENERIC_CONSTRAINT,GENCONSET,GENCONSET,NULL,1,INSERT,
GENERIC_CONSTRAINT,GENCONSET,GENCONSET,NULL,1,INSERT,
GENERIC_CONSTRAINT,GENCONSETINVOKE,GENERIC_CONSTRAINT,GENCONSETINVOKE,2,INSERT-UPDATE,LASTCHANGED
GENERIC_CONSTRAINT,GENCONSETTRK,GENCONSETTRK,NULL,2,INSERT,
GENERIC_CONSTRAINT,GENCONSETTRK,GENCONSETTRK,NULL,2,INSERT,
GENERIC_CONSTRAINT,GENERICCONSTRAINTRHS,GCRHS,NULL,1,INSERT,
GENERIC_CONSTRAINT,GENERICCONSTRAINTRHS,GCRHS,NULL,1,INSERT,
GENERIC_CONSTRAINT,GENERICEQUATIONDESC,GEQDESC,NULL,2,INSERT-UPDATE,LASTCHANGED
GENERIC_CONSTRAINT,GENERICEQUATIONDESC,GEQDESC,NULL,2,INSERT-UPDATE,LASTCHANGED
GENERIC_CONSTRAINT,GENERICEQUATIONRHS,GEQRHS,NULL,1,INSERT,
GENERIC_CONSTRAINT,GENERICEQUATIONRHS,GEQRHS,NULL,1,INSERT,
GENERIC_CONSTRAINT,SPDCONNECTIONPOINTCONSTRAINT,SPDCPC,NULL,2,INSERT,
GENERIC_CONSTRAINT,SPDCONNECTIONPOINTCONSTRAINT,SPDCPC,NULL,2,INSERT,
GENERIC_CONSTRAINT,SPDINTERCONNECTORCONSTRAINT,SPDICC,NULL,1,INSERT,
GENERIC_CONSTRAINT,SPDINTERCONNECTORCONSTRAINT,SPDICC,NULL,1,INSERT,
GENERIC_CONSTRAINT,SPDREGIONCONSTRAINT,SPDRC,NULL,2,INSERT,
