REPORT_NAME,REPORT_SUB_TYPE,VERSION,DESTINATION_TABLE,TRANSACTION_TYPE,ROW_FILTER_TYPE
GASBB,GAS_MEDIUM_TERM_CAP_OUTLOOK,1,GAS_MEDIUM_TERM_CAP_OUTLOOK,INSERT-UPDATE,LASTCHANGED
GASBB,GAS_NAMEPLATE_RATING,1,GAS_NAMEPLATE_RATING,INSERT,
GASBB,GAS_NODE,1,GAS_NODE,UPDATE-INSERT,LASTCHANGED
GASBB,GAS_NODE_OPSTATE,1,GAS_NODE_OPSTATE,INSERT,
GASBB,GAS_NOMINATIONS_FORECAST,1,GAS_NOMINATIONS_FORECAST,INSERT,
GASBB,GAS_NOMINATIONS_FORECAST_AGG,1,GAS_NOMINATIONS_FORECAST_AGG,INSERT,
GASBB,GAS_PARTICIPANT,1,GAS_PARTICIPANT,UPDATE-INSERT,LASTCHANGED
GASBB,GAS_PARTICIPANT_CONTACT,1,GAS_PARTICIPANT_CONTACT,INSERT,
GASBB,GAS_PARTICIPANT_CONTACT_TRK,1,GAS_PARTICIPANT_CONTACT_TRK,INSERT,
GASBB,GAS_PARTICIPANT_DETAIL,2,GAS_PARTICIPANT_DETAIL,INSERT,
GASBB,GAS_PARTICIPANT_DETAIL,1,GAS_PARTICIPANT_DETAIL,INSERT,
GASBB,GAS_PARTICIPANT_OPSTATE,1,GAS_PARTICIPANT_OPSTATE,INSERT,
GASBB,GAS_RESERVES_AND_RESOURCES,1,GAS_RESERVES_AND_RESOURCES,INSERT,
GASBB,GAS_SEC_CAP_ORDERS,1,GAS_SEC_CAP_ORDERS,INSERT,
GASBB,GAS_SEC_CAP_ORDERS_TRK,1,GAS_SEC_CAP_ORDERS_TRK,INSERT,
GASBB,GAS_SEC_CAP_TRADES,1,GAS_SEC_CAP_TRADES,INSERT,
GASBB,GAS_SEC_CAP_TRADES_TRK,1,GAS_SEC_CAP_TRADES_TRK,INSERT,
GASBB,GAS_SHIPPER_LIST,1,GAS_SHIPPER_LIST,INSERT,
GASBB,GAS_SHORT_TERM_CAP_OUTLOOK,1,GAS_SHORT_TERM_CAP_OUTLOOK,INSERT,
GASBB,GAS_SHORT_TERM_SWAP_TRANS,1,GAS_SHORT_TERM_SWAP_TRANS,INSERT,
GASBB,GAS_SHORT_TERM_TRANS,1,GAS_SHORT_TERM_TRANS,INSERT,
GASBB,GAS_STATE,1,GAS_STATE,UPDATE-INSERT,LASTCHANGED
GASBB,GAS_STORAGE_CAPACITY_TRANS,1,GAS_STORAGE_CAPACITY_TRANS,INSERT,
GASBB,GAS_UNCONTRACTED_CAP_OUTLOOK,1,GAS_UNCONTRACTED_CAP_OUTLOOK,INSERT,
GCRHS,NULL,1,GENERICCONSTRAINTRHS,INSERT,
GD_INSTRUCT,GDINSTRUCT,1,GDINSTRUCT,INSERT-UPDATE,LASTCHANGED
GD_INSTRUCT,INSTRUCTIONSUBTYPE,1,INSTRUCTIONSUBTYPE,INSERT-UPDATE,LASTCHANGED
GD_INSTRUCT,INSTRUCTIONTYPE,1,INSTRUCTIONTYPE,INSERT-UPDATE,LASTCHANGED
GENCONDATA,NULL,5,GENCONDATA,INSERT,
GENCONDATA,NULL,6,GENCONDATA,INSERT,
GENCONSET,NULL,1,GENCONSET,INSERT,
GENCONSETINVOKE,NULL,2,GENCONSETINVOKE,INSERT,
GENCONSETTRK,NULL,1,GENCONSETTRK,,
GENCONSETTRK,NULL,2,GENCONSETTRK,INSERT,
GENERIC_CONSTRAINT,EMSMASTER,1,EMSMASTER,INSERT-UPDATE,LASTCHANGED
GENERIC_CONSTRAINT,GENCONSETINVOKE,2,GENCONSETINVOKE,INSERT-UPDATE,LASTCHANGED
GEQDESC,NULL,2,GENERICEQUATIONDESC,INSERT-UPDATE,LASTCHANGED
GEQDESC,NULL,1,GENERICEQUATIONDESC,,
GEQRHS,NULL,1,GENERICEQUATIONRHS,INSERT,
GSH,AUCTION_BID,1,GSH_AUCTION_BID,INSERT-UPDATE,LASTCHANGED
GSH,AUCTION_BID_PRODUCT,1,GSH_AUCTION_BID_PRODUCT,INSERT-UPDATE,LASTCHANGED
GSH,AUCTION_BID_PROFILE,1,GSH_AUCTION_BID_PROFILE,INSERT-UPDATE,LASTCHANGED
GSH,AUCTION_BID_STEPS,1,GSH_AUCTION_BID_STEPS,INSERT-UPDATE,LASTCHANGED
GSH,AUCTION_BID_TRK,1,GSH_AUCTION_BID_TRK,INSERT-UPDATE,LASTCHANGED
GSH,AUCTION_CURTAILMENT_NOTICE,1,GSH_AUCTION_CURTAIL_NOTICE,INSERT-UPDATE,LASTCHANGED
GSH,AUCTION_PRICE_VOLUME,1,GSH_AUCTION_PRICE_VOLUME,INSERT-UPDATE,LASTCHANGED
GSH,AUCTION_QUANTITIES,1,GSH_AUCTION_QUANTITIES,INSERT-UPDATE,LASTCHANGED
GSH,AUCTION_RESULTS,1,GSH_AUCTION_RESULTS,INSERT-UPDATE,LASTCHANGED
GSH,AUCTION_RUN,1,GSH_AUCTION_RUN,INSERT-UPDATE,LASTCHANGED
GSH,AUCTION_SUBMISSION,1,GSH_AUCTION_BID_SUBMISSION,INSERT-UPDATE,LASTCHANGED
GSH,BENCHMARK_PRICE,1,GSH_BENCHMARK_PRICE,INSERT-UPDATE,LASTCHANGED
GSH,CAPACITY_TRANSACTION,1,GSH_CAPACITY_TRANSACTION,INSERT-UPDATE,LASTCHANGED
GSH,CAPACITY_TRANSFER_AUCTION_NT,1,GSH_CAP_XFR_AUCTION_NOTICE,INSERT-UPDATE,LASTCHANGED
